,post_id,likes_count,reposts_count,comments_count,time
0,434514.0,45.0,0.0,72.0,1481288180.0
1,435469.0,318.0,14.0,31.0,1481374755.0
2,435436.0,158.0,3.0,21.0,1481372439.0
3,435381.0,98.0,6.0,36.0,1481368666.0
4,435260.0,532.0,11.0,46.0,1481361610.0
5,435227.0,407.0,10.0,19.0,1481360382.0
6,435138.0,101.0,0.0,137.0,1481358172.0
7,435097.0,443.0,18.0,22.0,1481356122.0
8,435077.0,280.0,6.0,31.0,1481355695.0
9,435076.0,415.0,10.0,14.0,1481355680.0
10,435015.0,323.0,2.0,25.0,1481347261.0
11,434964.0,334.0,9.0,36.0,1481340258.0
12,434963.0,532.0,17.0,15.0,1481340221.0
13,434945.0,108.0,1.0,27.0,1481337187.0
14,434886.0,546.0,13.0,21.0,1481320467.0
15,434885.0,236.0,9.0,17.0,1481320444.0
16,434865.0,337.0,7.0,20.0,1481318940.0
17,434696.0,551.0,9.0,31.0,1481304039.0
18,434694.0,544.0,14.0,15.0,1481304027.0
19,434693.0,597.0,11.0,12.0,1481304023.0
20,434679.0,389.0,17.0,27.0,1481303900.0
21,434676.0,312.0,9.0,21.0,1481303870.0
22,434666.0,423.0,10.0,12.0,1481303728.0
23,434665.0,240.0,7.0,22.0,1481303705.0
24,434513.0,338.0,6.0,44.0,1481288165.0
25,434512.0,545.0,13.0,17.0,1481288130.0
26,434493.0,489.0,8.0,34.0,1481287834.0
27,434455.0,646.0,12.0,33.0,1481282804.0
28,434297.0,925.0,13.0,41.0,1481263515.0
29,434286.0,284.0,5.0,37.0,1481263410.0
30,434282.0,432.0,7.0,23.0,1481263320.0
31,434247.0,131.0,8.0,17.0,1481260088.0
32,434180.0,846.0,23.0,46.0,1481255267.0
33,434167.0,562.0,18.0,24.0,1481253585.0
34,434134.0,610.0,6.0,34.0,1481249409.0
35,434130.0,534.0,11.0,25.0,1481249017.0
36,434085.0,383.0,6.0,35.0,1481233590.0
37,433927.0,1118.0,60.0,40.0,1481218041.0
38,433908.0,71.0,0.0,66.0,1481217873.0
39,433833.0,566.0,3.0,86.0,1481214118.0
40,433784.0,873.0,20.0,54.0,1481213216.0
41,433746.0,313.0,4.0,26.0,1481212618.0
42,433744.0,356.0,6.0,11.0,1481212602.0
43,433739.0,486.0,8.0,39.0,1481212560.0
44,433715.0,706.0,12.0,11.0,1481208188.0
45,433497.0,633.0,6.0,33.0,1481190090.0
46,433494.0,805.0,20.0,50.0,1481190071.0
47,433485.0,400.0,10.0,45.0,1481189978.0
48,433481.0,924.0,41.0,25.0,1481189871.0
49,433355.0,738.0,24.0,34.0,1481182707.0
50,433351.0,585.0,9.0,28.0,1481182629.0
51,433343.0,683.0,35.0,27.0,1481182473.0
52,433328.0,106.0,4.0,22.0,1481181631.0
53,433281.0,238.0,6.0,53.0,1481180177.0
54,433277.0,702.0,10.0,34.0,1481180040.0
55,433142.0,407.0,8.0,40.0,1481152001.0
56,433100.0,344.0,8.0,30.0,1481145300.0
57,433004.0,670.0,3.0,28.0,1481136133.0
58,432969.0,802.0,23.0,29.0,1481135743.0
59,432968.0,908.0,21.0,42.0,1481135726.0
60,432967.0,617.0,27.0,18.0,1481135701.0
61,432896.0,107.0,3.0,22.0,1481122992.0
62,432860.0,526.0,20.0,50.0,1481122144.0
63,432823.0,549.0,11.0,31.0,1481120799.0
64,432802.0,462.0,19.0,26.0,1481120535.0
65,432801.0,86.0,0.0,23.0,1481120520.0
66,432690.0,1127.0,24.0,32.0,1481101629.0
67,432673.0,501.0,16.0,38.0,1481101222.0
68,432653.0,501.0,8.0,35.0,1481100586.0
69,432587.0,657.0,18.0,40.0,1481094247.0
70,432501.0,620.0,33.0,32.0,1481082354.0
71,432481.0,466.0,3.0,30.0,1481081433.0
72,432477.0,558.0,14.0,15.0,1481081228.0
73,432476.0,646.0,20.0,28.0,1481081142.0
74,432450.0,522.0,17.0,12.0,1481076904.0
75,432446.0,489.0,4.0,22.0,1481076627.0
76,432307.0,376.0,5.0,32.0,1481048584.0
77,432262.0,100.0,1.0,24.0,1481047131.0
78,432255.0,337.0,9.0,27.0,1481047081.0
79,432244.0,721.0,23.0,26.0,1481046918.0
80,432160.0,155.0,5.0,24.0,1481045004.0
81,432147.0,421.0,8.0,65.0,1481044924.0
82,432125.0,492.0,12.0,39.0,1481044776.0
83,432123.0,348.0,15.0,10.0,1481044761.0
84,432122.0,309.0,3.0,22.0,1481044757.0
85,432108.0,101.0,0.0,17.0,1481044301.0
86,431975.0,197.0,9.0,33.0,1481022958.0
87,431951.0,722.0,50.0,47.0,1481022087.0
88,431891.0,887.0,39.0,30.0,1481016655.0
89,431861.0,367.0,6.0,29.0,1481015133.0
90,431848.0,515.0,6.0,25.0,1481014918.0
91,431777.0,600.0,8.0,38.0,1481007361.0
92,431752.0,527.0,15.0,23.0,1481006471.0
93,431700.0,304.0,2.0,25.0,1481003329.0
94,431685.0,420.0,10.0,22.0,1481003048.0
95,431684.0,351.0,7.0,30.0,1481003030.0
96,431617.0,319.0,9.0,49.0,1480999203.0
97,431574.0,451.0,3.0,20.0,1480995351.0
98,431567.0,826.0,14.0,48.0,1480995122.0
99,431375.0,279.0,0.0,40.0,1480963487.0
100,431368.0,353.0,10.0,31.0,1480963444.0
101,431361.0,642.0,15.0,27.0,1480963358.0
102,431305.0,579.0,7.0,51.0,1480959011.0
103,431213.0,459.0,5.0,53.0,1480951173.0
104,431120.0,729.0,17.0,48.0,1480946034.0
105,431116.0,1018.0,17.0,42.0,1480945966.0
106,431115.0,120.0,0.0,10.0,1480945902.0
107,431052.0,149.0,0.0,23.0,1480941364.0
108,430976.0,491.0,12.0,42.0,1480935443.0
109,430921.0,418.0,10.0,34.0,1480932159.0
110,430893.0,431.0,11.0,26.0,1480930979.0
111,430880.0,241.0,2.0,36.0,1480930815.0
112,430790.0,79.0,0.0,21.0,1480919684.0
113,430744.0,504.0,20.0,34.0,1480916186.0
114,430684.0,1054.0,29.0,42.0,1480914124.0
115,430681.0,873.0,18.0,17.0,1480914069.0
116,430675.0,436.0,7.0,40.0,1480914004.0
117,430601.0,254.0,6.0,13.0,1480903954.0
118,430600.0,870.0,41.0,27.0,1480903914.0
119,430599.0,426.0,26.0,46.0,1480903852.0
120,430466.0,633.0,6.0,53.0,1480883405.0
121,430444.0,157.0,1.0,75.0,1480883239.0
122,430301.0,312.0,2.0,56.0,1480875341.0
123,430299.0,830.0,26.0,26.0,1480875317.0
124,430276.0,381.0,9.0,25.0,1480875050.0
125,430259.0,278.0,6.0,24.0,1480874812.0
126,430235.0,76.0,1.0,35.0,1480874040.0
127,430180.0,738.0,36.0,41.0,1480870194.0
128,430154.0,226.0,2.0,27.0,1480869004.0
129,430049.0,554.0,13.0,45.0,1480860926.0
130,430048.0,633.0,18.0,26.0,1480860908.0
131,430047.0,276.0,4.0,26.0,1480860900.0
132,429980.0,927.0,34.0,48.0,1480854863.0
133,429939.0,204.0,3.0,40.0,1480849434.0
134,429909.0,526.0,19.0,31.0,1480847403.0
135,429857.0,403.0,7.0,28.0,1480840916.0
136,429817.0,276.0,1.0,16.0,1480837908.0
137,429816.0,877.0,32.0,20.0,1480837888.0
138,429799.0,35.0,0.0,13.0,1480836699.0
139,429759.0,530.0,16.0,27.0,1480833673.0
140,429758.0,380.0,3.0,27.0,1480833667.0
141,429736.0,21.0,0.0,17.0,1480828806.0
142,429583.0,12.0,1.0,32.0,1480789230.0
143,429535.0,24.0,0.0,34.0,1480785635.0
144,429488.0,512.0,5.0,34.0,1480782738.0
145,429433.0,106.0,0.0,37.0,1480778589.0
146,429320.0,371.0,4.0,57.0,1480769606.0
147,429282.0,523.0,19.0,45.0,1480767751.0
148,429215.0,292.0,5.0,19.0,1480764233.0
149,429211.0,461.0,2.0,28.0,1480764160.0
150,429135.0,526.0,12.0,26.0,1480759404.0
151,429076.0,663.0,7.0,55.0,1480757353.0
152,429043.0,513.0,10.0,19.0,1480755093.0
153,429005.0,749.0,19.0,37.0,1480754614.0
154,428985.0,451.0,18.0,26.0,1480754281.0
155,428956.0,482.0,7.0,23.0,1480752649.0
156,428872.0,151.0,0.0,26.0,1480747073.0
